city,geoid,feature label,feature id,shid,Housing Built 1939 or Earlier (2020-2024),Housing Built 1940 to 1949 (2020-2024),Housing Built 1950 to 1959 (2020-2024),Housing Built 1960 to 1969 (2020-2024),Housing Built 1970 to 1979 (2020-2024),Housing Built 1980 to 1989 (2020-2024),Housing Built 1990 to 1999 (2020-2024),Housing Built 2000 to 2009 (2020-2024),Housing Built 2010 to 2019 (2020-2024),Housing Built 2020 or Later (2020-2024),Renter Excessive Housing Costs (2020-2024),Home Owner Excessive Housing Costs (2020-2024),Median Home Rent (2020-2024),Median Household Income (2020-2024),Rental Vacancy Rate (2020-2024),Homeowner Vacancy Rate (2020-2024),Total Housing Units (2020-2024),Percent Change in Population (Difference Decennial Census 2020 - 2010),Per Capita Income (2020-2024),Income 49% and Below Poverty Level (2020-2024),Income 50% to 99% the Poverty Level (2020-2024),Income 100% to 124% the Poverty Level (2020-2024),Income 125% to 149% the Poverty Level (2020-2024),Income 150% to 184% the Poverty Level (2020-2024),Income 185% to 199% the Poverty Level (2020-2024),Income 200% and Over the Poverty Level (2020-2024),Unemployment Rate (2020-2024),Labor Force Participation Rate (2020-2024),Commute Mean Travel Time (2020-2024),Commute Transportation by Public Transit (2020-2024),No Vehicles Available (2020-2024),Total Population (2020-2024),data_source,Transit_Accessibility_Index,Expected_Rent_From_Income,Income_Rent_Mismatch_Ratio,Walkability_Premium_Index,Luxury_Vacancy_Flag,Vacancy_Quality_Score,Housing_Age_Diversity_Index,Economic_Stress_Index,Transit_Accessibility_Index_Std,Income_Rent_Mismatch_Ratio_Std,Walkability_Premium_Index_Std,Vacancy_Quality_Score_Std,Economic_Stress_Index_Std,Comprehensive_Mismatch_Score,Basic_Rent_Waste,Rent_Per_Commute_Minute,Commute_Rent_Mismatch,Comprehensive_Rent_Waste_Score,Total_Monthly_Location_Cost,Time_Value_Rent_Waste,Population_Growth_Score,New_Development_Score,Economic_Vitality_Score,Ultra_Recent_Boost,City_Boom_Score,Boom_Category,exclusion_reason
Miami,33438,ZIP Code 33438,publicpolygonfeature:5:42650,country:us/state:fl/zip:33438,25,0,93,8,18,0,24,8,0,0,26,50,1431.0,,0.0,0.0,176,1.99618,33678.0,71,0,50,0,0,0,136,0.0,62.727272727272734,19.420289855072465,0,50,257,original_complete_data,40.22727272727272,,,39.22388633442334,0,3.956072549439584,1.400173218206806,19.686947293951185,1.8643008426831025,,3.5741604675308323,-0.9996606776998208,1.0875969921877209,,9.855804498398768,1.6746777476255086,-980.017260726746,21.12400906002265,1787.038647342995,814.6567028985509,0.0135104893479776,0.0,26.10357201868189,0.0,6.530621675942265,STABLE/DECLINE,TinyPopulation
Miami,33446,ZIP Code 33446,publicpolygonfeature:5:43511,country:us/state:fl/zip:33446,0,64,99,220,3880,4390,2342,3925,2834,433,1131,4596,1937.0,80187.0,3.7202380952380953,2.6078999542473693,18187,38.02285,78527.0,1452,806,1254,934,1127,493,22323,4.200527704485489,36.511117105313865,28.78185261707989,114,910,28431,original_complete_data,0.6981350507149358,1480.6269,1.3082296424575293,17.700170692676547,0,32.60146032584787,1.7478729100603043,12.578475059033872,-1.0502501976581602,1.2303790505465633,-0.1750359399838387,0.2625044837765371,-0.2162769319283374,0.5729677206640821,24.022902842253945,1.52953070319744,37.91217699369008,70.97678369195923,2464.6672979797977,1492.2853535353534,0.2573451842543018,22.987037677312816,41.82392291610565,2.770650697576168,17.719227916466878,STABLE/DECLINE,Retirement
Miami,33477,ZIP Code 33477,publicpolygonfeature:5:43525,country:us/state:fl/zip:33477,10,0,195,208,1332,6793,1266,606,558,52,583,1884,2653.0,104992.0,14.878892733564014,1.591089896579157,11020,-3.25779,106827.0,535,487,291,193,496,245,10610,1.084649846734261,33.795521555502425,25.43351610692255,30,318,12908,original_complete_data,1.209118052817735,1696.4304,1.56387199852113,18.055996623476485,1,90.82060283010276,1.2907388412453509,8.457135412525421,-1.0125745455212147,2.2396610783021247,-0.1130549454538708,2.8277402548355104,-0.9722350506239462,1.27716778415031,31.118417916212618,2.3707085678587396,570.8111210567331,71.03624009060023,3119.2811286269134,2146.899184182469,0.0,7.083423052077887,44.480737923937426,0.5491319289963081,13.300124589507352,STABLE/DECLINE,Retirement
Miami,33480,ZIP Code 33480,publicpolygonfeature:5:43527,country:us/state:fl/zip:33480,1250,459,855,3032,3234,2230,413,554,359,58,301,2160,2293.0,150633.0,22.120786516853933,1.4097234773179108,12444,14.42529,196153.0,450,389,163,185,286,168,9283,4.440258342303552,35.410710882409,26.050574712643677,14,183,10924,original_complete_data,12.41384765153968,2093.5071,1.0952912459671142,16.726656056684718,1,88.45815446928198,1.9177606950170272,10.303378514571254,-0.1864306367947606,0.3896932584652403,-0.3446115670119287,2.7236467079060924,-0.633587285143196,0.5521936186564741,26.68124028054947,2.0004793344671565,244.55446851890792,69.27519818799547,2770.5938697318006,1798.2119252873565,0.0976328421717924,4.288160109834431,20.490229626557856,0.5424040682832634,6.497417341178247,STABLE/DECLINE,Retirement
Miami,33493,ZIP Code 33493,publicpolygonfeature:5:42702,country:us/state:fl/zip:33493,6,52,52,248,286,140,85,52,43,0,224,152,1085.0,53083.0,3.62116991643454,0.0,964,8.52167,12511.0,429,583,163,52,403,0,1559,8.830188679245284,30.864197530864196,32.31578947368421,43,123,5158,original_complete_data,7.179935611441921,1244.8221,0.8716104895631273,21.18893851503543,0,6.954455558562453,1.84694662158226,27.00918122479123,-0.5723359380016743,-0.4934036229339758,0.4326693467776609,-0.8675467540058177,2.430680227682868,0.5184813598484433,11.314405674577822,0.7630663310630736,-620.8373632344585,43.58154020385051,1677.4561403508774,705.0741959064329,0.057676127284103,5.708031507138337,32.949188026537804,0.0,9.969893103325388,STABLE/DECLINE,Retirement
Tampa,33542,ZIP Code 33542,publicpolygonfeature:5:42820,country:us/state:fl/zip:33542,172,156,802,1280,3709,2792,1835,1291,1174,385,1405,1827,1141.0,49316.0,10.08039579468151,1.2982005141388175,13596,9.79166,28859.0,1791,1660,1773,1365,2207,1254,13257,5.410387075788789,45.90612712159673,28.14977387603086,1,829,23612,original_complete_data,4.988454865874443,1212.0492,0.9413809274408992,18.812871268012294,0,18.385167034548388,1.9817038761877683,14.668687037451257,-0.733917567713505,-0.2179482950181587,0.0187843589424734,-0.3638899032593399,0.1671209072228436,0.1672758113210782,10.581975513726563,0.9212087562770358,-792.652534339921,32.78029445073613,1657.0791877272325,684.697243282788,0.0662716378928848,14.673371031360173,39.389263123507774,3.2953725574725556,14.60205941929476,STABLE/DECLINE,CollegeTown
Tampa,33573,ZIP Code 33573,publicpolygonfeature:5:43550,country:us/state:fl/zip:33573,31,25,217,1446,2757,2668,3200,2960,3868,1060,1817,3804,2230.0,72834.0,9.44781359719119,1.4294006675373676,18232,54.51805,48968.0,1182,1809,614,975,977,423,28835,1.5321100917431192,36.119393310863366,34.24198250728863,21,1327,35362,original_complete_data,0.9221746723458164,1416.6558,1.5741297215597465,16.294738163475827,1,74.62975622331469,1.935406900680138,10.732888199658507,-1.033731372541234,2.2801588098517205,-0.4198469511116535,2.114343645182145,-0.5548043258752845,1.1674649549521514,35.10567077423974,1.4801075893029914,629.4949345562454,89.4422423556059,2857.7696793002915,1885.3877348558472,0.3689875330869528,34.58846803162256,57.25423779298892,6.765914420325711,25.495836936347,STABLE/DECLINE,Retirement
Tampa,33612,ZIP Code 33612,publicpolygonfeature:5:43568,country:us/state:fl/zip:33612,209,833,4478,3404,4102,3891,1469,1537,1469,97,7457,1983,1352.0,47199.0,10.006715916722634,2.5210084033613445,21489,13.98473,25299.0,7298,6872,2735,3220,3098,1654,23332,5.133608699317205,60.73319859807107,27.147569268243178,957,3313,49005,original_complete_data,16.19368142780121,1193.6313,1.1326780723662324,25.886985717067407,0,31.50137426589319,1.9951620855509136,24.33049365658622,0.0922629829614141,0.5372973274484701,1.2510179063557854,0.2140327957568653,1.9393410544242131,0.7010021980951967,13.417004856848749,1.1318609199836185,-636.4572773501109,38.0039637599094,1849.7054365844583,877.3234921400139,0.0946510563673334,9.325464900844027,52.542913998115736,0.5253037190595847,16.01902621141667,STABLE/DECLINE,CollegeTown
Tampa,33767,ZIP Code 33767,publicpolygonfeature:5:43601,country:us/state:fl/zip:33767,178,90,536,806,2584,1782,1209,1255,334,68,432,1253,2539.0,117425.0,37.71653543307087,2.237252861602497,8842,11.54736,102924.0,209,226,24,178,161,47,7236,1.9732441471571909,38.735587511335666,21.5203426124197,0,232,8081,original_complete_data,5.455779235467089,1804.5975,1.4069619402664584,20.02120244259711,1,93.59372775555384,1.906268087549555,7.420369440511787,-0.699460941345437,1.6201764818954223,0.2292624647791153,2.94992891908563,-1.1624041997245391,1.0759596564130265,24.22219277897908,2.6813952962460426,242.82241450515855,61.34201585503965,2933.539614561028,1961.1576701165836,0.0781545172666108,5.817956670589904,35.773324189196934,0.8949800391328829,10.805570133432807,STABLE/DECLINE,Retirement
Austin,78633,ZIP Code 78633,publicpolygonfeature:5:59972,country:us/state:tx/zip:78633,14,0,22,62,142,374,2783,5371,5008,1011,587,3210,1998.0,100936.0,0.0,1.544837980406933,14787,44.39441,69806.0,464,756,469,455,754,324,26064,3.628590221442666,34.21786152302374,33.18353909465021,0,233,29309,original_complete_data,0.1460742544126597,1661.1432,1.2027861294559072,12.883971594726347,0,7.588442314820397,1.4091598914231196,9.479010510744654,-1.0909545859339669,0.8140855839448456,-1.0139652706096194,-0.8396122047222782,-0.7847972650858991,0.0246797710714636,29.390338010486417,1.368422180032379,339.61481829083914,84.0713476783692,2606.3648834019205,1633.982938957476,0.3004689974925872,52.08818327596504,31.40898865121177,7.95657260011685,24.379523554726543,STABLE/DECLINE,Retirement
